date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2014-02-28,75.96,82.65,54.63,77.65,142313300.0,75.96,0.0,82.65,54.63,77.65,1.0,142313300.0
2014-01-31,77.73,97.28,72.7,93.31,117878100.0,77.73,0.0,97.28,72.7,93.31,1.0,117878100.0
2013-12-31,92.93,95.4,74.4,76.1,94847100.0,92.93,0.0,95.4,74.4,76.1,1.0,94847100.0
2013-11-29,75.16,84.85,61.29,62.5,127526900.0,75.16,0.0,84.85,61.29,62.5,1.0,127526900.0
2013-10-31,62.24,63.25,47.33,54.29,84607000.0,62.24,0.0,63.25,47.33,54.29,1.0,84607000.0
2013-09-30,53.99,56.23,49.67,53.0,69999700.0,53.99,0.0,56.23,49.67,53.0,1.0,69999700.0
2013-08-30,51.4,54.08,44.5,47.98,80559100.0,51.4,0.0,54.08,44.5,47.98,1.0,80559100.0
2013-07-31,47.23,51.45,44.2,44.26,75106300.0,47.23,0.0,51.45,44.2,44.26,1.0,75106300.0
2013-06-28,43.9,48.94,41.05,48.51,87295500.0,43.9,0.0,48.94,41.05,48.51,1.0,87295500.0
2013-05-31,48.52,51.94,36.5,37.53,144848800.0,48.52,0.0,51.94,36.5,37.53,1.0,144848800.0
2013-04-30,38.24,38.97,30.07,33.04,69925400.0,38.24,0.0,38.97,30.07,33.04,1.0,69925400.0
2013-03-28,32.24,37.85,27.88,36.0,82656900.0,32.24,0.0,37.85,27.88,36.0,1.0,82656900.0
2013-02-28,36.96,45.6266666666667,30.28,39.34,114249470.5,36.96,0.0,68.44,30.28,59.01,1.5,84394936.0
2013-01-31,38.5666666666667,47.9866666666667,36.0066666666667,38.4533333333333,117286404.0,57.85,0.0,71.98,54.01,57.68,1.0,78190936.0
2012-12-31,35.5666666666667,35.6466666666667,28.2333333333333,30.3333333333333,43987405.5,53.35,0.0,53.47,42.35,45.5,1.0,29324937.0
2012-11-30,29.8066666666667,32.9,24.3533333333333,29.1533333333333,65137107.0,44.71,0.0,49.35,36.53,43.73,1.0,43424738.0
2012-10-31,29.0,29.2866666666667,22.2133333333333,22.52,43428406.5,43.5,0.0,43.93,33.32,33.78,1.0,28952271.0
2012-09-28,21.9,29.58,21.5666666666667,29.2266666666667,50126905.5,32.85,0.0,44.37,32.35,43.84,1.0,33417937.0
2012-08-31,29.14,29.8666666666667,22.0066666666667,25.58,43978407.0,43.71,0.0,44.8,33.01,38.37,1.0,29318938.0
2012-07-31,25.3333333333333,26.3466666666667,20.8666666666667,23.3333333333333,34470207.0,38.0,0.0,39.52,31.3,35.0,1.0,22980138.0
2012-06-29,22.76,23.32,18.3266666666667,19.5333333333333,34941706.5,34.14,0.0,34.98,27.49,29.3,1.0,23294471.0
2012-05-31,20.2666666666667,21.32,17.04,19.66,30368706.0,30.4,0.0,31.98,25.56,29.49,1.0,20245804.0
2012-04-30,19.66,19.8933333333333,14.8333333333333,16.2733333333333,39968505.0,29.49,0.0,29.84,22.25,24.41,1.0,26645670.0
2012-03-30,15.6933333333333,16.5733333333333,13.9266666666667,15.1666666666667,19847305.5,23.54,0.0,24.86,20.89,22.75,1.0,13231537.0
2012-02-29,14.9333333333333,17.18,12.7533333333333,12.8066666666667,22669605.0,22.4,0.0,25.77,19.13,19.21,1.0,15113070.0
2012-01-31,12.7466666666667,13.1333333333333,9.82,9.9,13211107.5,19.12,0.0,19.7,14.73,14.85,1.0,8807405.0
2011-12-30,9.6,10.8866666666667,9.53333333333333,10.3933333333333,10732306.5,14.4,0.0,16.33,14.3,15.59,1.0,7154871.0
2011-11-30,10.4066666666667,11.7333333333333,9.47333333333333,10.38,14451405.0,15.61,0.0,17.6,14.21,15.57,1.0,9634270.0
2011-10-31,10.8466666666667,13.3333333333333,8.52,9.26,17860702.5,16.27,0.0,20.0,12.78,13.89,1.0,11907135.0
2011-09-30,9.32666666666667,12.32,9.11333333333333,12.1333333333333,14963004.0,13.99,0.0,18.48,13.67,18.2,1.0,9975336.0
2011-08-31,12.1133333333333,14.8333333333333,9.88666666666667,14.6666666666667,22969003.5,18.17,0.0,22.25,14.83,22.0,1.0,15312669.0
2011-07-29,14.2733333333333,18.1866666666667,13.0,13.16,18456703.5,21.41,0.0,27.28,19.5,19.74,1.0,12304469.0
2011-06-30,13.14,13.3666666666667,11.5333333333333,12.98,13074205.5,19.71,0.0,20.05,17.3,19.47,1.0,8716137.0
2011-05-31,13.3266666666667,13.9933333333333,11.34,13.9933333333333,31322652.0,19.99,0.0,41.98,17.01,41.98,2.0,13524668.0
2011-04-29,13.9066666666667,19.5666666666667,13.6,16.81,44101500.0,41.72,0.0,58.7,40.8,50.43,1.0,14700500.0
2011-03-31,16.1766666666667,17.8566666666667,14.0333333333333,16.4933333333333,22482300.0,48.53,0.0,53.57,42.1,49.48,1.0,7494100.0
2011-02-28,16.3166666666667,16.6666666666667,9.35333333333333,9.6,9821400.0,48.95,0.0,50.0,28.06,28.8,1.0,3273800.0
2011-01-31,9.51333333333333,10.93,8.92,10.6033333333333,5387400.0,28.54,0.0,32.79,26.76,31.81,1.0,1795800.0
2010-12-31,10.4966666666667,11.4333333333333,9.38666666666667,9.66,5570700.0,31.49,0.0,34.3,28.16,28.98,1.0,1856900.0
2010-11-30,9.38,9.90666666666667,7.7,8.75,9032700.0,28.14,0.0,29.72,23.1,26.25,1.0,3010900.0
2010-10-29,8.61333333333333,8.96333333333333,4.99333333333333,5.29666666666667,7044000.0,25.84,0.0,26.89,14.98,15.89,1.0,2348000.0
2010-09-30,5.23666666666667,5.28,4.20333333333333,4.3,2317200.0,15.71,0.0,15.84,12.61,12.9,1.0,772400.0
