,,0
rdextorevenue,ebitlesscapextointerestex,3.332996035334943e-17
ebitlesscapextointerestex,rdextorevenue,3.332996035334943e-17
noncontrolinttocap,ebitlesscapextointerestex,3.332996035334943e-17
ebitlesscapextointerestex,stdebttocap,3.332996035334943e-17
ebitlesscapextointerestex,dividendyield,3.332996035334943e-17
stdebttocap,ebitlesscapextointerestex,3.332996035334943e-17
ebitlesscapextointerestex,noncontrolinttocap,3.332996035334943e-17
ebitlesscapextointerestex,preferredtocap,3.332996035334943e-17
preferredtocap,ebitlesscapextointerestex,3.332996035334943e-17
epsgrowth,stdebttocap,3.926771572693612e-17
rdextorevenue,epsgrowth,3.926771572693612e-17
preferredtocap,epsgrowth,3.926771572693612e-17
noncontrollinginterestsharingratio,epsgrowth,3.926771572693612e-17
epsgrowth,divpayoutratio,3.926771572693612e-17
epsgrowth,preferredtocap,3.926771572693612e-17
divpayoutratio,epsgrowth,3.926771572693612e-17
noncontrolinttocap,epsgrowth,3.926771572693612e-17
dividendyield,epsgrowth,3.926771572693612e-17
stdebttocap,epsgrowth,3.926771572693612e-17
epsgrowth,noncontrollinginterestsharingratio,3.926771572693612e-17
epsgrowth,noncontrolinttocap,3.926771572693612e-17
epsgrowth,dividendyield,3.926771572693612e-17
epsgrowth,rdextorevenue,3.926771572693612e-17
oroa,preferredtocap,3.9981096624904695e-17
dividendyield,oroa,3.9981096624904695e-17
noncontrolinttocap,oroa,3.9981096624904695e-17
oroa,divpayoutratio,3.9981096624904695e-17
rdextorevenue,oroa,3.9981096624904695e-17
noncontrollinginterestsharingratio,oroa,3.9981096624904695e-17
preferredtocap,oroa,3.9981096624904695e-17
oroa,stdebttocap,3.9981096624904695e-17
oroa,dividendyield,3.9981096624904695e-17
oroa,rdextorevenue,3.9981096624904695e-17
divpayoutratio,oroa,3.9981096624904695e-17
oroa,noncontrolinttocap,3.9981096624904695e-17
oroa,noncontrollinginterestsharingratio,3.9981096624904695e-17
stdebttocap,oroa,3.9981096624904695e-17
rdextorevenue,marketcap,4.1903326191348314e-17
marketcap,noncontrolinttocap,4.1903326191348314e-17
preferredtocap,marketcap,4.1903326191348314e-17
marketcap,dividendyield,4.1903326191348314e-17
divpayoutratio,marketcap,4.1903326191348314e-17
marketcap,preferredtocap,4.1903326191348314e-17
dividendyield,marketcap,4.1903326191348314e-17
marketcap,noncontrollinginterestsharingratio,4.1903326191348314e-17
stdebttocap,marketcap,4.1903326191348314e-17
noncontrollinginterestsharingratio,marketcap,4.1903326191348314e-17
marketcap,divpayoutratio,4.1903326191348314e-17
noncontrolinttocap,marketcap,4.1903326191348314e-17
marketcap,rdextorevenue,4.1903326191348314e-17
marketcap,stdebttocap,4.1903326191348314e-17
noncontrollinginterestsharingratio,normalizednopatmargin,4.769931287022227e-17
normalizednopatmargin,rdextorevenue,4.769931287022227e-17
normalizednopatmargin,dividendyield,4.769931287022227e-17
stdebttocap,normalizednopatmargin,4.769931287022227e-17
divpayoutratio,normalizednopatmargin,4.769931287022227e-17
normalizednopatmargin,stdebttocap,4.769931287022227e-17
normalizednopatmargin,divpayoutratio,4.769931287022227e-17
preferredtocap,normalizednopatmargin,4.769931287022227e-17
noncontrolinttocap,normalizednopatmargin,4.769931287022227e-17
normalizednopatmargin,preferredtocap,4.769931287022227e-17
normalizednopatmargin,noncontrolinttocap,4.769931287022227e-17
dividendyield,normalizednopatmargin,4.769931287022227e-17
rdextorevenue,normalizednopatmargin,4.769931287022227e-17
normalizednopatmargin,noncontrollinginterestsharingratio,4.769931287022227e-17
grossmargin,preferredtocap,4.7919071175443016e-17
grossmargin,rdextorevenue,4.7919071175443016e-17
grossmargin,noncontrollinginterestsharingratio,4.7919071175443016e-17
noncontrollinginterestsharingratio,grossmargin,4.7919071175443016e-17
preferredtocap,grossmargin,4.7919071175443016e-17
grossmargin,dividendyield,4.7919071175443016e-17
noncontrolinttocap,grossmargin,4.7919071175443016e-17
grossmargin,noncontrolinttocap,4.7919071175443016e-17
grossmargin,stdebttocap,4.7919071175443016e-17
dividendyield,grossmargin,4.7919071175443016e-17
stdebttocap,grossmargin,4.7919071175443016e-17
rdextorevenue,grossmargin,4.7919071175443016e-17
divpayoutratio,grossmargin,4.7919071175443016e-17
grossmargin,divpayoutratio,4.7919071175443016e-17
divpayoutratio,investedcapitalgrowth,5.0729905445054275e-17
investedcapitalgrowth,rdextorevenue,5.0729905445054275e-17
noncontrollinginterestsharingratio,investedcapitalgrowth,5.0729905445054275e-17
investedcapitalgrowth,noncontrollinginterestsharingratio,5.0729905445054275e-17
dividendyield,investedcapitalgrowth,5.0729905445054275e-17
investedcapitalgrowth,divpayoutratio,5.0729905445054275e-17
preferredtocap,investedcapitalgrowth,5.0729905445054275e-17
investedcapitalgrowth,stdebttocap,5.0729905445054275e-17
investedcapitalgrowth,preferredtocap,5.0729905445054275e-17
investedcapitalgrowth,dividendyield,5.0729905445054275e-17
investedcapitalgrowth,noncontrolinttocap,5.0729905445054275e-17
stdebttocap,investedcapitalgrowth,5.0729905445054275e-17
rdextorevenue,investedcapitalgrowth,5.0729905445054275e-17
noncontrolinttocap,investedcapitalgrowth,5.0729905445054275e-17
noncontrolinttocap,fcfftointerestex,5.2240178866267883e-17
fcfftointerestex,stdebttocap,5.2240178866267883e-17
divpayoutratio,fcfftointerestex,5.2240178866267883e-17
fcfftointerestex,divpayoutratio,5.2240178866267883e-17
fcfftointerestex,noncontrollinginterestsharingratio,5.2240178866267883e-17
fcfftointerestex,dividendyield,5.2240178866267883e-17
fcfftointerestex,preferredtocap,5.2240178866267883e-17
fcfftointerestex,noncontrolinttocap,5.2240178866267883e-17
rdextorevenue,fcfftointerestex,5.2240178866267883e-17
dividendyield,fcfftointerestex,5.2240178866267883e-17
fcfftointerestex,rdextorevenue,5.2240178866267883e-17
preferredtocap,fcfftointerestex,5.2240178866267883e-17
stdebttocap,fcfftointerestex,5.2240178866267883e-17
noncontrollinginterestsharingratio,fcfftointerestex,5.2240178866267883e-17
ltdebttonopat,rdextorevenue,5.4581149207186125e-17
stdebttocap,debttonopat,5.4581149207186125e-17
ltdebttonopat,divpayoutratio,5.4581149207186125e-17
ltdebttonopat,stdebttocap,5.4581149207186125e-17
ltdebttonopat,noncontrolinttocap,5.4581149207186125e-17
ltdebttonopat,dividendyield,5.4581149207186125e-17
ltdebttonopat,preferredtocap,5.4581149207186125e-17
stdebttocap,ltdebttonopat,5.4581149207186125e-17
debttonopat,preferredtocap,5.4581149207186125e-17
noncontrollinginterestsharingratio,debttonopat,5.4581149207186125e-17
preferredtocap,debttonopat,5.4581149207186125e-17
debttonopat,dividendyield,5.4581149207186125e-17
debttonopat,stdebttocap,5.4581149207186125e-17
debttonopat,divpayoutratio,5.4581149207186125e-17
preferredtocap,ltdebttonopat,5.4581149207186125e-17
rdextorevenue,debttonopat,5.4581149207186125e-17
rdextorevenue,ltdebttonopat,5.4581149207186125e-17
noncontrollinginterestsharingratio,ltdebttonopat,5.4581149207186125e-17
debttonopat,noncontrolinttocap,5.4581149207186125e-17
debttonopat,noncontrollinginterestsharingratio,5.4581149207186125e-17
ltdebttonopat,noncontrollinginterestsharingratio,5.4581149207186125e-17
noncontrolinttocap,ltdebttonopat,5.4581149207186125e-17
noncontrolinttocap,debttonopat,5.4581149207186125e-17
debttonopat,rdextorevenue,5.4581149207186125e-17
divpayoutratio,ltdebttonopat,5.4581149207186125e-17
dividendyield,debttonopat,5.4581149207186125e-17
dividendyield,ltdebttonopat,5.4581149207186125e-17
divpayoutratio,debttonopat,5.4581149207186125e-17
freecashflow,noncontrolinttocap,5.522477694221434e-17
noncontrolinttocap,freecashflow,5.522477694221434e-17
noncontrollinginterestsharingratio,freecashflow,5.522477694221434e-17
stdebttocap,freecashflow,5.522477694221434e-17
preferredtocap,freecashflow,5.522477694221434e-17
freecashflow,noncontrollinginterestsharingratio,5.522477694221434e-17
dividendyield,freecashflow,5.522477694221434e-17
freecashflow,rdextorevenue,5.522477694221434e-17
freecashflow,preferredtocap,5.522477694221434e-17
freecashflow,dividendyield,5.522477694221434e-17
freecashflow,stdebttocap,5.522477694221434e-17
freecashflow,divpayoutratio,5.522477694221434e-17
rdextorevenue,freecashflow,5.522477694221434e-17
divpayoutratio,freecashflow,5.522477694221434e-17
netdebttonopat,stdebttocap,5.562299607303962e-17
stdebttocap,netdebttonopat,5.562299607303962e-17
preferredtocap,netdebttonopat,5.562299607303962e-17
noncontrolinttocap,netdebttonopat,5.562299607303962e-17
netdebttonopat,dividendyield,5.562299607303962e-17
dividendyield,netdebttonopat,5.562299607303962e-17
netdebttonopat,preferredtocap,5.562299607303962e-17
netdebttonopat,rdextorevenue,5.562299607303962e-17
divpayoutratio,netdebttonopat,5.562299607303962e-17
netdebttonopat,noncontrollinginterestsharingratio,5.562299607303962e-17
rdextorevenue,netdebttonopat,5.562299607303962e-17
netdebttonopat,divpayoutratio,5.562299607303962e-17
noncontrollinginterestsharingratio,netdebttonopat,5.562299607303962e-17
netdebttonopat,noncontrolinttocap,5.562299607303962e-17
noncontrollinginterestsharingratio,ccc,6.226383377818678e-17
ccc,preferredtocap,6.226383377818678e-17
ccc,stdebttocap,6.226383377818678e-17
ccc,divpayoutratio,6.226383377818678e-17
ccc,noncontrolinttocap,6.226383377818678e-17
preferredtocap,ccc,6.226383377818678e-17
ccc,noncontrollinginterestsharingratio,6.226383377818678e-17
divpayoutratio,ccc,6.226383377818678e-17
rdextorevenue,ccc,6.226383377818678e-17
ccc,dividendyield,6.226383377818678e-17
dividendyield,ccc,6.226383377818678e-17
ccc,rdextorevenue,6.226383377818678e-17
stdebttocap,ccc,6.226383377818678e-17
noncontrolinttocap,ccc,6.226383377818678e-17
roic,noncontrollinginterestsharingratio,6.522582901993798e-17
divpayoutratio,roic,6.522582901993798e-17
roic,stdebttocap,6.522582901993798e-17
roic,dividendyield,6.522582901993798e-17
dividendyield,roic,6.522582901993798e-17
roic,preferredtocap,6.522582901993798e-17
preferredtocap,roic,6.522582901993798e-17
noncontrollinginterestsharingratio,roic,6.522582901993798e-17
noncontrolinttocap,roic,6.522582901993798e-17
rdextorevenue,roic,6.522582901993798e-17
roic,noncontrolinttocap,6.522582901993798e-17
roic,rdextorevenue,6.522582901993798e-17
stdebttocap,roic,6.522582901993798e-17
roic,divpayoutratio,6.522582901993798e-17
ocftocapex,noncontrollinginterestsharingratio,6.578310510652963e-17
dividendyield,ocftocapex,6.578310510652963e-17
ocftocapex,divpayoutratio,6.578310510652963e-17
ocftocapex,stdebttocap,6.578310510652963e-17
divpayoutratio,ocftocapex,6.578310510652963e-17
stdebttocap,ocftocapex,6.578310510652963e-17
ocftocapex,preferredtocap,6.578310510652963e-17
ocftocapex,noncontrolinttocap,6.578310510652963e-17
preferredtocap,ocftocapex,6.578310510652963e-17
noncontrolinttocap,ocftocapex,6.578310510652963e-17
noncontrollinginterestsharingratio,ocftocapex,6.578310510652963e-17
rdextorevenue,ocftocapex,6.578310510652963e-17
ocftocapex,dividendyield,6.578310510652963e-17
ocftocapex,rdextorevenue,6.578310510652963e-17
stdebttocap,debttototalcapital,7.107315676187892e-17
stdebttocap,ltdebttocap,7.107315676187892e-17
preferredtocap,debttototalcapital,7.107315676187892e-17
preferredtocap,ltdebttocap,7.107315676187892e-17
ltdebttocap,stdebttocap,7.107315676187892e-17
noncontrolinttocap,ltdebttocap,7.107315676187892e-17
ltdebttocap,divpayoutratio,7.107315676187892e-17
divpayoutratio,debttototalcapital,7.107315676187892e-17
divpayoutratio,ltdebttocap,7.107315676187892e-17
dividendyield,debttototalcapital,7.107315676187892e-17
ltdebttocap,dividendyield,7.107315676187892e-17
debttototalcapital,noncontrolinttocap,7.107315676187892e-17
dividendyield,ltdebttocap,7.107315676187892e-17
